dia,fecha,cota_Ralco_msnm_0-20%,cota_Pangue_msnm_0-20%,cota_Ralco_msnm_20-40%,cota_Pangue_msnm_20-40%,cota_Ralco_msnm_40-60%,cota_Pangue_msnm_40-60%,cota_Ralco_msnm_60-80%,cota_Pangue_msnm_60-80%,cota_Ralco_msnm_80-100%,cota_Pangue_msnm_80-100%
120,30-Apr,702.98,507.456,709.14,508.154,713.88,509.123,714.39,509.534,714.79,509.013
121,01-May,702.82,507.178,709.09,508.154,713.94,509.068,714.51,509.441,714.85,509.093
122,02-May,702.57,507.192,709.06,508.385,714.02,509.012,714.6,509.476,714.92,509.176
123,03-May,702.33,507.282,708.95,508.126,714.15,508.956,714.71,509.483,715.0,509.142
124,04-May,702.15,507.49,708.83,508.385,714.28,508.871,714.82,509.439,715.09,509.107
125,05-May,702.08,507.279,708.71,508.154,714.4,508.785,714.93,509.375,715.17,509.089
126,06-May,701.92,507.407,708.63,508.362,714.44,508.845,715.04,509.338,715.24,509.137
127,07-May,701.76,507.5,708.7,508.357,714.49,508.846,715.13,509.369,715.3,509.243
128,08-May,701.6,507.388,708.61,508.122,714.57,508.843,715.2,509.294,715.4,509.185
129,09-May,701.5,507.703,708.51,508.334,714.66,508.802,715.27,509.206,715.51,509.098
130,10-May,701.41,507.305,708.43,508.097,714.73,508.821,715.34,509.077,715.63,508.966
131,11-May,701.38,507.513,708.42,508.243,714.81,508.809,715.41,508.954,715.76,508.73
132,12-May,701.32,507.383,708.4,507.955,714.89,508.769,715.48,508.889,715.77,509.184
133,13-May,701.4,507.68,708.36,508.202,714.97,508.726,715.55,508.772,715.87,509.125
134,14-May,701.39,507.346,708.34,507.894,715.06,508.625,715.61,508.687,715.98,509.023
135,15-May,701.32,507.429,708.43,508.047,715.17,508.531,715.66,508.695,716.09,508.926
136,16-May,701.38,507.427,708.54,508.216,715.53,508.418,715.82,508.536,716.22,508.79
137,17-May,701.31,507.612,708.92,508.414,716.0,508.253,715.97,508.353,716.37,508.568
138,18-May,701.46,507.661,709.3,508.076,716.45,508.077,716.13,508.167,716.53,508.318
139,19-May,701.71,507.34,709.69,508.154,716.9,507.9,716.29,507.98,716.65,508.208
140,20-May,701.72,507.524,710.11,508.089,717.33,507.722,716.45,507.792,716.8,507.957
141,21-May,701.69,507.28,710.53,507.526,717.76,507.542,716.6,507.602,716.95,507.703
142,22-May,701.91,507.25,710.82,507.868,718.17,507.36,716.76,507.41,717.1,507.447
143,23-May,702.1,507.648,711.17,507.617,718.58,507.195,716.91,507.217,717.25,507.188
144,24-May,702.53,507.214,712.31,507.0,718.91,507.0,717.31,507.0,717.46,507.0
145,25-May,702.64,508.062,712.57,507.603,718.56,507.047,717.09,507.264,717.06,507.096
146,26-May,702.46,507.47,712.81,507.576,718.21,507.1,716.86,507.129,716.66,507.192
147,27-May,702.37,507.827,713.05,507.248,717.85,507.159,716.66,507.0,716.31,507.0
148,28-May,702.29,507.849,713.25,507.893,717.49,507.223,716.43,507.246,715.92,507.044
149,29-May,702.1,507.55,713.43,508.087,717.14,507.292,716.19,507.199,715.52,507.138
150,30-May,702.14,507.913,713.6,507.619,716.78,507.365,715.95,507.435,715.12,507.231
151,31-May,702.15,507.905,713.76,508.22,716.42,507.441,715.71,507.231,714.73,507.231
152,01-Jun,702.11,508.17,713.57,508.271,716.05,507.336,715.44,507.418,714.36,507.349
153,02-Jun,702.03,507.629,713.38,507.358,715.68,507.354,715.17,507.585,713.99,507.462
154,03-Jun,702.01,508.414,713.22,507.587,715.32,507.467,714.92,507.647,713.64,507.462
155,04-Jun,701.92,507.588,713.02,507.513,714.96,507.501,714.67,507.526,713.28,507.462
156,05-Jun,701.84,508.194,712.83,507.963,714.63,507.43,714.45,507.366,713.0,507.09
157,06-Jun,701.77,508.026,712.65,508.149,714.28,507.384,714.18,507.53,712.61,507.281
158,07-Jun,701.81,508.276,712.46,508.111,713.91,507.516,713.9,507.691,712.22,507.462
159,08-Jun,701.84,507.72,712.42,507.451,713.61,507.213,713.69,507.05,711.82,507.438
160,09-Jun,701.89,508.072,712.4,507.615,713.24,507.331,713.44,507.019,711.41,507.408
161,10-Jun,702.05,507.79,712.37,507.302,712.89,507.334,713.15,507.237,711.0,507.373
162,11-Jun,702.09,508.611,712.31,508.057,712.51,507.477,712.86,507.425,710.59,507.392
163,12-Jun,702.28,508.572,712.27,508.202,712.13,507.617,712.59,507.516,710.21,507.258
164,13-Jun,702.47,508.037,712.25,508.191,711.77,507.692,712.34,507.531,709.81,507.291
165,14-Jun,702.62,508.201,712.2,507.732,711.43,507.592,712.16,507.238,709.44,507.208
166,15-Jun,702.85,508.519,712.16,507.971,711.06,507.647,711.9,507.332,709.09,507.231
167,16-Jun,702.77,508.625,712.19,508.662,711.06,508.116,711.78,507.639,708.75,507.267
168,17-Jun,702.69,508.526,712.21,507.669,711.17,507.511,711.79,507.178,708.45,507.096
169,18-Jun,702.63,508.216,712.24,507.862,711.16,507.679,711.67,507.293,708.13,507.127
170,19-Jun,702.63,507.81,712.24,508.445,711.15,507.529,711.54,507.685,707.81,507.206
171,20-Jun,702.69,508.206,712.26,508.168,711.1,508.138,711.53,507.453,707.54,507.126
172,21-Jun,702.79,507.467,712.25,508.676,711.19,507.372,711.42,507.827,707.24,507.231
173,22-Jun,702.92,508.414,712.26,508.992,711.18,507.73,711.36,507.875,706.97,507.231
174,23-Jun,702.96,508.5,712.31,508.362,711.17,507.829,711.14,508.199,706.73,507.29
175,24-Jun,702.99,507.42,712.4,507.889,711.3,507.436,710.96,508.028,706.49,507.349
